id,en,yo,ig,pg,category,difficulty,tags,notes_yo,notes_ig,notes_pg,synonyms_yo,synonyms_ig,synonyms_pg
389,doubt,Ṣàníyàn,Obi abụọ,Doubt,health,3,,,,,,,
390,down,Isalẹ̀,Ala,Down,polite,3,,,,,,,
391,dozen,Dọ́sínù,Iri na abụọ,One dozen,greetings,3,,,,,,,
392,draw,Yà,See,Draw,family,3,,,,,,,
393,dream,Alá,Nrọ,Dream,food,3,,,,,,,
394,dress,Aṣọ,Uwe,Dress,school,3,,,,,,,
395,drink,Mu,ṅụọ,Drink,numbers,3,,,,,,,
396,drive,Wà,Kwọ ụgbọala,Drive,colors,3,,,,,,,
397,drop,Dà,Dobe,Drop,actions,3,,,,,,,
398,dry,Gbẹ́,Akọrọ,Dry,travel,3,,,,,,,
399,duck,Pẹ́pẹ́yẹ,Ọbọ,Duck,health,3,,,,,,,
400,dull,Gọ́ngọ́,Ogbi,Dull,polite,3,,,,,,,
401,during,Láàárín,N'oge,For the time,greetings,3,,,,,,,
402,dust,Èérú,Uzuzu,Dust,family,3,,,,,,,
403,duty,Ojúṣe,Ọrụ,Work,food,3,,,,,,,
404,each,Kọ̀ọ̀kan,Onye ọ bụla,Each,school,3,,,,,,,
405,eager,Nitara,Ọṅụ,Eager,numbers,3,,,,,,,
406,ear,Etí,Ntị,Ear,colors,3,,,,,,,
407,early,Kíákíá,N'isi,Early,actions,3,,,,,,,
408,earn,Já,Nweta,Earn,travel,3,,,,,,,
409,earth,Ayé,Ụwa,Earth,health,3,,,,,,,
410,east,Ìlà oòrùn,Ọwụwa anyanwụ,East,polite,3,,,,,,,
411,easy,Rọrùn,Dị mfe,Easy,greetings,3,,,,,,,
412,eat,Je,Rie,Chop,family,3,,,,,,,
413,edge,Etí,ọnụ,Edge,food,3,,,,,,,
414,educate,Kọ́,Zụọ,Go school,school,3,,,,,,,
415,effect,Abajade,Mmetụta,Effect,numbers,3,,,,,,,
416,egg,Ẹyin,Akwa,Egg,colors,3,,,,,,,
417,either,Tabi,Ma ọ bụ,Either,actions,3,,,,,,,
418,elastic,Alásiki,Na-agbanwe agbanwe,Stretch,travel,3,,,,,,,
419,elder,Àgbà,Okenye,Big person,health,3,,,,,,,
420,electric,Itanna,Ọkụ eletrik,Light,polite,3,,,,,,,
421,elephant,Erin,Enyí,Elephant,greetings,3,,,,,,,
422,else,Mìíràn,Ihe ọzọ,Another thing,family,3,,,,,,,
423,empty,Ofofo,Tọgbọrọ chakoo,Empty,food,3,,,,,,,
424,end,Òpin,Ọgwụgwụ,End,school,3,,,,,,,
425,enemy,Òtá,Onye iro,Enemy,numbers,3,,,,,,,
426,engine,Ẹ̀ńjìnì,Injin,Engine,colors,3,,,,,,,
427,enjoy,Gbadun,Nụrịa,Enjoy,actions,3,,,,,,,
428,enough,Tó,Ezuru,Enough,travel,3,,,,,,,
429,enter,Wọlé,Banye,Enter,health,3,,,,,,,
430,entire,Gbogbo,Dum,Whole,polite,3,,,,,,,
431,equal,Ìdọ́gba,Hara,Equal,greetings,3,,,,,,,
432,escape,Sá,Gbanarị,Run away,family,3,,,,,,,
433,especially,Pàtàkì,Karịsịa,Especially,food,3,,,,,,,
434,even,Pẹ́,Ọbụna,Even,school,3,,,,,,,
435,evening,Ìrọ̀lẹ́,Mgbede,Evening,numbers,3,,,,,,,
436,event,Ìṣẹ̀lẹ̀,Ihe omume,Event,colors,3,,,,,,,
437,ever,Lailai,Mgbe ọ bụla,Ever,actions,3,,,,,,,
438,every,Gbogbo,Onye ọ bụla,Every,travel,3,,,,,,,
439,exact,Pàtó,Kpọmkwem,Exact,health,3,,,,,,,
440,example,Àpẹẹrẹ,Ihe atụ,Example,polite,3,,,,,,,
441,except,Ayafi,Ewezuga,Except,greetings,3,,,,,,,
442,exchange,Pàdé,Mgbanwe,Exchange,family,3,,,,,,,
443,excite,Gbé láyọ,Kpalie,Make person happy,food,3,,,,,,,
444,excuse,Dáríjì,Mgbaghara,Sorry,school,3,,,,,,,
445,exercise,Ìdánwò,Mmega ahụ,Exercise,numbers,3,,,,,,,
446,exist,Wà,Dị adị,Dey,colors,3,,,,,,,
447,expand,Fẹ́,Gbasaa,Expand,actions,3,,,,,,,
448,expect,Retí,Tụrụ anya,Expect,travel,3,,,,,,,
449,expensive,Owó,Ọnụ ahịa dị elu,Costly,health,3,,,,,,,
450,experience,Iriri,Ahụmahụ,Experience,polite,3,,,,,,,
451,explain,Ṣalaye,Kọwaa,Explain,greetings,3,,,,,,,
452,explode,Bú,Gbawaa,Explode,family,3,,,,,,,
453,extend,Fẹ́,Gbatịa,Extend,food,3,,,,,,,
454,eye,Ojú,Anya,Eye,school,3,,,,,,,
455,face,Ojú,Ihu,Face,numbers,3,,,,,,,
456,fact,Òtítọ́,Eziokwu,Fact,colors,3,,,,,,,
457,factory,Ilé iṣẹ́,Ụlọ ọrụ mmepụta ihe,Factory,actions,3,,,,,,,
458,fail,Kù,Da,Fail,travel,3,,,,,,,
459,faint,Ríriba,Dara mbà,Faint,health,3,,,,,,,
460,fair,Deede,Ziri ezi,Fair,polite,3,,,,,,,
461,faith,Ìgbàgbọ́,Okwukwe,Faith,greetings,3,,,,,,,
462,fall,Subu,Da,Fall,family,3,,,,,,,
463,false,Irọ,Ụgha,Lie,food,3,,,,,,,
464,family,Ẹbí,Ezinụlọ,Family,school,3,,,,,,,
465,famous,Gbajúmọ̀,Ama ama,Popular,numbers,3,,,,,,,
466,far,Jìnnà,Ọdị anya,Far,colors,3,,,,,,,
467,farm,Oko,Ugbo,Farm,actions,3,,,,,,,
468,fast,Yára,Ọsọ,Fast,travel,3,,,,,,,
469,fat,Sanra,Abụba,Fat,health,3,,,,,,,
470,father,Bàbá,Nna,Papa,polite,3,,,,,,,
471,fault,Àṣìṣe,Mmejọ,Fault,greetings,3,,,,,,,
472,fear,Ẹ̀rù,Egwu,Fear,family,3,,,,,,,
473,feather,Ìyẹ́,Nku,Feather,food,3,,,,,,,
474,feeble,Aláìlera,Adịghị ike,Weak,school,3,,,,,,,
475,feed,Bọ,Nye nri,Feed,numbers,3,,,,,,,
476,feel,Mọ̀,Nwee mmetụta,Feel,colors,3,,,,,,,
477,female,Obìnrin,Nwanyị,Woman,actions,3,,,,,,,
478,fence,Odi,Ngere,Fence,travel,3,,,,,,,
479,fertile,Olórí,Na-amị mkpụrụ,Fertile,health,3,,,,,,,
480,few,Díẹ̀,Ole na ole,Few,polite,3,,,,,,,
481,field,Pápá,Ubi,Field,greetings,3,,,,,,,
482,fierce,Kikarara,Ọjọọ,Fierce,family,3,,,,,,,
483,fight,Ijà,Ọgụ,Fight,food,3,,,,,,,
484,fill,Kun,Jupụta,Fill,school,3,,,,,,,
485,film,Firimu,Ihe nkiri,Film,numbers,3,,,,,,,
486,find,Wá,Chọta,See,colors,3,,,,,,,
487,fine,Dára,Dị mma,Fine,actions,3,,,,,,,
488,finger,Ika ọwọ,Mkpịsị aka,Finger,travel,3,,,,,,,
489,finish,Pari,Mecha,Finish,health,3,,,,,,,
490,fire,Iná,Ọkụ,Fire,polite,3,,,,,,,
491,first,Àkọ́kọ́,Mbụ,First,greetings,3,,,,,,,
492,fish,Ẹja,Azụ,Fish,family,3,,,,,,,
493,fit,Yẹ,Dị mma,Fit,food,3,,,,,,,
494,five,Márùn-ún,Ise,Five,school,3,,,,,,,
495,fix,Túnṣe,Dozie,Fix,numbers,3,,,,,,,
496,flag,Àsìá,Ọkọlọtọ,Flag,colors,3,,,,,,,
497,flat,Pẹtẹlẹ,Dị larịị,Flat,actions,3,,,,,,,
498,flavor,Òróró,Ekpomeekpo,Taste,travel,3,,,,,,,
499,flesh,Ẹran,Anụ ahụ,Meat,health,3,,,,,,,
500,float,Fọ́,See n'elu mmiri,Float,polite,3,,,,,,,
